// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 9 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/" /p:OutDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:OutputPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:PublishDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/publish/" in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1
// command took 1 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/" /p:OutDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:OutputPath="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" /p:PublishDir="/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/publish/" --output "/Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0/" in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1
// command took 6.78 sec and exited with 0
// ***** Done, took 00:00:07 (7.85 sec)   *****
// Found 9 benchmarks:
//   ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
//   ParallelResolverBenchmarks.ParallelFor: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
//   ParallelResolverBenchmarks.Plinq: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
//   ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=100000]
//   ParallelResolverBenchmarks.ParallelFor: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=100000]
//   ParallelResolverBenchmarks.Plinq: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=100000]
//   ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=1000000]
//   ParallelResolverBenchmarks.ParallelFor: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=1000000]
//   ParallelResolverBenchmarks.Plinq: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=1000000]

// **************************
// Benchmark: ParallelResolverBenchmarks.Sequential: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
// *** Execute ***
// Launch: 1 / 3
// Execute: dotnet Benchmarks-Job-LVEFGF-1.dll --anonymousPipes 134 135 --benchmarkName "Benchmarks.ParallelResolverBenchmarks.Sequential(TargetCount: 5000)" --job "IterationCount=15, LaunchCount=3, WarmupCount=5" --benchmarkId 0 in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 9.0.7 (9.0.7, 9.0.725.31616), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5)

// Runtime=.NET 9.0.7 (9.0.7, 9.0.725.31616), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5)

OverheadJitting  1: 1 op, 105084.00 ns, 105.0840 us/op
WorkloadJitting  1: 1 op, 6205042.00 ns, 6.2050 ms/op

OverheadJitting  2: 16 op, 355750.00 ns, 22.2344 us/op
WorkloadJitting  2: 16 op, 14623542.00 ns, 913.9714 us/op

WorkloadPilot    1: 16 op, 9192959.00 ns, 574.5599 us/op
WorkloadPilot    2: 32 op, 18632500.00 ns, 582.2656 us/op
WorkloadPilot    3: 64 op, 34987625.00 ns, 546.6816 us/op
WorkloadPilot    4: 128 op, 66908250.00 ns, 522.7207 us/op
WorkloadPilot    5: 256 op, 134068166.00 ns, 523.7038 us/op
WorkloadPilot    6: 512 op, 445380084.00 ns, 869.8830 us/op
WorkloadPilot    7: 1024 op, 641855125.00 ns, 626.8116 us/op

OverheadWarmup   1: 1024 op, 3542.00 ns, 3.4590 ns/op
OverheadWarmup   2: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadWarmup   3: 1024 op, 2375.00 ns, 2.3193 ns/op
OverheadWarmup   4: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadWarmup   5: 1024 op, 6125.00 ns, 5.9814 ns/op
OverheadWarmup   6: 1024 op, 5958.00 ns, 5.8184 ns/op
OverheadWarmup   7: 1024 op, 5584.00 ns, 5.4531 ns/op
OverheadWarmup   8: 1024 op, 2792.00 ns, 2.7266 ns/op
OverheadWarmup   9: 1024 op, 2708.00 ns, 2.6445 ns/op
OverheadWarmup  10: 1024 op, 2500.00 ns, 2.4414 ns/op

OverheadActual   1: 1024 op, 2417.00 ns, 2.3604 ns/op
OverheadActual   2: 1024 op, 2209.00 ns, 2.1572 ns/op
OverheadActual   3: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadActual   4: 1024 op, 2708.00 ns, 2.6445 ns/op
OverheadActual   5: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadActual   6: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual   7: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadActual   8: 1024 op, 2375.00 ns, 2.3193 ns/op
OverheadActual   9: 1024 op, 2167.00 ns, 2.1162 ns/op
OverheadActual  10: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual  11: 1024 op, 2125.00 ns, 2.0752 ns/op
OverheadActual  12: 1024 op, 2209.00 ns, 2.1572 ns/op
OverheadActual  13: 1024 op, 2208.00 ns, 2.1563 ns/op
OverheadActual  14: 1024 op, 2458.00 ns, 2.4004 ns/op
OverheadActual  15: 1024 op, 2833.00 ns, 2.7666 ns/op
OverheadActual  16: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual  17: 1024 op, 2375.00 ns, 2.3193 ns/op
OverheadActual  18: 1024 op, 2291.00 ns, 2.2373 ns/op
OverheadActual  19: 1024 op, 2250.00 ns, 2.1973 ns/op

WorkloadWarmup   1: 1024 op, 438334625.00 ns, 428.0612 us/op
WorkloadWarmup   2: 1024 op, 429814750.00 ns, 419.7410 us/op
WorkloadWarmup   3: 1024 op, 410941542.00 ns, 401.3101 us/op
WorkloadWarmup   4: 1024 op, 421480625.00 ns, 411.6022 us/op
WorkloadWarmup   5: 1024 op, 416155083.00 ns, 406.4014 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 419266708.00 ns, 409.4401 us/op
WorkloadActual   2: 1024 op, 433809167.00 ns, 423.6418 us/op
WorkloadActual   3: 1024 op, 424948166.00 ns, 414.9884 us/op
WorkloadActual   4: 1024 op, 436380042.00 ns, 426.1524 us/op
WorkloadActual   5: 1024 op, 435089709.00 ns, 424.8923 us/op
WorkloadActual   6: 1024 op, 437261666.00 ns, 427.0133 us/op
WorkloadActual   7: 1024 op, 444180083.00 ns, 433.7696 us/op
WorkloadActual   8: 1024 op, 416804834.00 ns, 407.0360 us/op
WorkloadActual   9: 1024 op, 417527833.00 ns, 407.7420 us/op
WorkloadActual  10: 1024 op, 416812250.00 ns, 407.0432 us/op
WorkloadActual  11: 1024 op, 447016167.00 ns, 436.5392 us/op
WorkloadActual  12: 1024 op, 419486292.00 ns, 409.6546 us/op
WorkloadActual  13: 1024 op, 419649625.00 ns, 409.8141 us/op
WorkloadActual  14: 1024 op, 423294958.00 ns, 413.3740 us/op
WorkloadActual  15: 1024 op, 418328166.00 ns, 408.5236 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 419264417.00 ns, 409.4379 us/op
WorkloadResult   2: 1024 op, 433806876.00 ns, 423.6395 us/op
WorkloadResult   3: 1024 op, 424945875.00 ns, 414.9862 us/op
WorkloadResult   4: 1024 op, 436377751.00 ns, 426.1501 us/op
WorkloadResult   5: 1024 op, 435087418.00 ns, 424.8901 us/op
WorkloadResult   6: 1024 op, 437259375.00 ns, 427.0111 us/op
WorkloadResult   7: 1024 op, 444177792.00 ns, 433.7674 us/op
WorkloadResult   8: 1024 op, 416802543.00 ns, 407.0337 us/op
WorkloadResult   9: 1024 op, 417525542.00 ns, 407.7398 us/op
WorkloadResult  10: 1024 op, 416809959.00 ns, 407.0410 us/op
WorkloadResult  11: 1024 op, 447013876.00 ns, 436.5370 us/op
WorkloadResult  12: 1024 op, 419484001.00 ns, 409.6523 us/op
WorkloadResult  13: 1024 op, 419647334.00 ns, 409.8118 us/op
WorkloadResult  14: 1024 op, 423292667.00 ns, 413.3717 us/op
WorkloadResult  15: 1024 op, 418325875.00 ns, 408.5214 us/op
// GC:  521 7 0 3153692072 1024
// Threading:  9076 0 1024

// AfterAll
// Benchmark Process 88342 has exited with code 0.
// Launch: 2 / 3
// Execute: dotnet Benchmarks-Job-LVEFGF-1.dll --anonymousPipes 134 135 --benchmarkName "Benchmarks.ParallelResolverBenchmarks.ParallelFor(TargetCount: 5000)" --job "IterationCount=15, LaunchCount=3, WarmupCount=5" --benchmarkId 1 in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 9.0.7 (9.0.7, 9.0.725.31616), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5)

OverheadJitting  1: 1 op, 110083.00 ns, 110.0830 us/op
WorkloadJitting  1: 1 op, 5533292.00 ns, 5.5333 ms/op

OverheadJitting  2: 16 op, 339791.00 ns, 21.2369 us/op
WorkloadJitting  2: 16 op, 13383666.00 ns, 836.4791 us/op

WorkloadPilot    1: 16 op, 9622083.00 ns, 601.3802 us/op
WorkloadPilot    2: 32 op, 17624125.00 ns, 550.7539 us/op
WorkloadPilot    3: 64 op, 34139875.00 ns, 533.4355 us/op
WorkloadPilot    4: 128 op, 67220833.00 ns, 525.1628 us/op
WorkloadPilot    5: 256 op, 133066000.00 ns, 519.7891 us/op
WorkloadPilot    6: 512 op, 360699833.00 ns, 704.4919 us/op
WorkloadPilot    7: 1024 op, 532231917.00 ns, 519.7577 us/op

OverheadWarmup   1: 1024 op, 3791.00 ns, 3.7021 ns/op
OverheadWarmup   2: 1024 op, 2542.00 ns, 2.4824 ns/op
OverheadWarmup   3: 1024 op, 2334.00 ns, 2.2793 ns/op
OverheadWarmup   4: 1024 op, 2416.00 ns, 2.3594 ns/op
OverheadWarmup   5: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadWarmup   6: 1024 op, 2208.00 ns, 2.1563 ns/op
OverheadWarmup   7: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadWarmup   8: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadWarmup   9: 1024 op, 6459.00 ns, 6.3076 ns/op
OverheadWarmup  10: 1024 op, 2500.00 ns, 2.4414 ns/op

OverheadActual   1: 1024 op, 2333.00 ns, 2.2783 ns/op
OverheadActual   2: 1024 op, 2291.00 ns, 2.2373 ns/op
OverheadActual   3: 1024 op, 2375.00 ns, 2.3193 ns/op
OverheadActual   4: 1024 op, 2667.00 ns, 2.6045 ns/op
OverheadActual   5: 1024 op, 2750.00 ns, 2.6855 ns/op
OverheadActual   6: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadActual   7: 1024 op, 2166.00 ns, 2.1152 ns/op
OverheadActual   8: 1024 op, 2167.00 ns, 2.1162 ns/op
OverheadActual   9: 1024 op, 2208.00 ns, 2.1563 ns/op
OverheadActual  10: 1024 op, 2250.00 ns, 2.1973 ns/op
OverheadActual  11: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadActual  12: 1024 op, 2125.00 ns, 2.0752 ns/op
OverheadActual  13: 1024 op, 2291.00 ns, 2.2373 ns/op
OverheadActual  14: 1024 op, 3250.00 ns, 3.1738 ns/op
OverheadActual  15: 1024 op, 11666.00 ns, 11.3926 ns/op
OverheadActual  16: 1024 op, 2584.00 ns, 2.5234 ns/op
OverheadActual  17: 1024 op, 2291.00 ns, 2.2373 ns/op
OverheadActual  18: 1024 op, 2500.00 ns, 2.4414 ns/op
OverheadActual  19: 1024 op, 2292.00 ns, 2.2383 ns/op
OverheadActual  20: 1024 op, 2208.00 ns, 2.1563 ns/op

WorkloadWarmup   1: 1024 op, 407281959.00 ns, 397.7363 us/op
WorkloadWarmup   2: 1024 op, 424771333.00 ns, 414.8158 us/op
WorkloadWarmup   3: 1024 op, 417651208.00 ns, 407.8625 us/op
WorkloadWarmup   4: 1024 op, 420005833.00 ns, 410.1619 us/op
WorkloadWarmup   5: 1024 op, 425673500.00 ns, 415.6968 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 434174291.00 ns, 423.9983 us/op
WorkloadActual   2: 1024 op, 421321834.00 ns, 411.4471 us/op
WorkloadActual   3: 1024 op, 423370417.00 ns, 413.4477 us/op
WorkloadActual   4: 1024 op, 419037584.00 ns, 409.2164 us/op
WorkloadActual   5: 1024 op, 421649625.00 ns, 411.7672 us/op
WorkloadActual   6: 1024 op, 446400417.00 ns, 435.9379 us/op
WorkloadActual   7: 1024 op, 418585583.00 ns, 408.7750 us/op
WorkloadActual   8: 1024 op, 417812250.00 ns, 408.0198 us/op
WorkloadActual   9: 1024 op, 425650750.00 ns, 415.6746 us/op
WorkloadActual  10: 1024 op, 424485583.00 ns, 414.5367 us/op
WorkloadActual  11: 1024 op, 420518667.00 ns, 410.6628 us/op
WorkloadActual  12: 1024 op, 421016833.00 ns, 411.1493 us/op
WorkloadActual  13: 1024 op, 427839792.00 ns, 417.8123 us/op
WorkloadActual  14: 1024 op, 418843917.00 ns, 409.0273 us/op
WorkloadActual  15: 1024 op, 418468084.00 ns, 408.6602 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 434171999.00 ns, 423.9961 us/op
WorkloadResult   2: 1024 op, 421319542.00 ns, 411.4449 us/op
WorkloadResult   3: 1024 op, 423368125.00 ns, 413.4454 us/op
WorkloadResult   4: 1024 op, 419035292.00 ns, 409.2142 us/op
WorkloadResult   5: 1024 op, 421647333.00 ns, 411.7650 us/op
WorkloadResult   6: 1024 op, 418583291.00 ns, 408.7727 us/op
WorkloadResult   7: 1024 op, 417809958.00 ns, 408.0175 us/op
WorkloadResult   8: 1024 op, 425648458.00 ns, 415.6723 us/op
WorkloadResult   9: 1024 op, 424483291.00 ns, 414.5345 us/op
WorkloadResult  10: 1024 op, 420516375.00 ns, 410.6605 us/op
WorkloadResult  11: 1024 op, 421014541.00 ns, 411.1470 us/op
WorkloadResult  12: 1024 op, 427837500.00 ns, 417.8101 us/op
WorkloadResult  13: 1024 op, 418841625.00 ns, 409.0250 us/op
WorkloadResult  14: 1024 op, 418465792.00 ns, 408.6580 us/op
// GC:  522 7 0 3153732352 1024
// Threading:  9518 0 1024

// AfterAll
// Benchmark Process 88346 has exited with code 0.
// Launch: 3 / 3
// Execute: dotnet Benchmarks-Job-LVEFGF-1.dll --anonymousPipes 134 135 --benchmarkName "Benchmarks.ParallelResolverBenchmarks.ParallelFor(TargetCount: 5000)" --job "IterationCount=15, LaunchCount=3, WarmupCount=5" --benchmarkId 1 in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 9.0.7 (9.0.7, 9.0.725.31616), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5)

OverheadJitting  1: 1 op, 105917.00 ns, 105.9170 us/op
WorkloadJitting  1: 1 op, 5608291.00 ns, 5.6083 ms/op

OverheadJitting  2: 16 op, 320750.00 ns, 20.0469 us/op
WorkloadJitting  2: 16 op, 12370792.00 ns, 773.1745 us/op

WorkloadPilot    1: 16 op, 9284458.00 ns, 580.2786 us/op
WorkloadPilot    2: 32 op, 17752625.00 ns, 554.7695 us/op
WorkloadPilot    3: 64 op, 35201750.00 ns, 550.0273 us/op
WorkloadPilot    4: 128 op, 71478084.00 ns, 558.4225 us/op
WorkloadPilot    5: 256 op, 132761458.00 ns, 518.5994 us/op
WorkloadPilot    6: 512 op, 292229417.00 ns, 570.7606 us/op
WorkloadPilot    7: 1024 op, 471123375.00 ns, 460.0814 us/op
WorkloadPilot    8: 2048 op, 836019958.00 ns, 408.2129 us/op

OverheadWarmup   1: 2048 op, 6125.00 ns, 2.9907 ns/op
OverheadWarmup   2: 2048 op, 5125.00 ns, 2.5024 ns/op
OverheadWarmup   3: 2048 op, 11667.00 ns, 5.6968 ns/op
OverheadWarmup   4: 2048 op, 11292.00 ns, 5.5137 ns/op
OverheadWarmup   5: 2048 op, 11250.00 ns, 5.4932 ns/op
OverheadWarmup   6: 2048 op, 4667.00 ns, 2.2788 ns/op
OverheadWarmup   7: 2048 op, 11167.00 ns, 5.4526 ns/op
OverheadWarmup   8: 2048 op, 11000.00 ns, 5.3711 ns/op

OverheadActual   1: 2048 op, 5041.00 ns, 2.4614 ns/op
OverheadActual   2: 2048 op, 5208.00 ns, 2.5430 ns/op
OverheadActual   3: 2048 op, 4750.00 ns, 2.3193 ns/op
OverheadActual   4: 2048 op, 4417.00 ns, 2.1567 ns/op
OverheadActual   5: 2048 op, 4458.00 ns, 2.1768 ns/op
OverheadActual   6: 2048 op, 4542.00 ns, 2.2178 ns/op
OverheadActual   7: 2048 op, 4875.00 ns, 2.3804 ns/op
OverheadActual   8: 2048 op, 5125.00 ns, 2.5024 ns/op
OverheadActual   9: 2048 op, 5083.00 ns, 2.4819 ns/op
OverheadActual  10: 2048 op, 5000.00 ns, 2.4414 ns/op
OverheadActual  11: 2048 op, 4750.00 ns, 2.3193 ns/op
OverheadActual  12: 2048 op, 4708.00 ns, 2.2988 ns/op
OverheadActual  13: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadActual  14: 2048 op, 4542.00 ns, 2.2178 ns/op
OverheadActual  15: 2048 op, 4542.00 ns, 2.2178 ns/op
OverheadActual  16: 2048 op, 4541.00 ns, 2.2173 ns/op
OverheadActual  17: 2048 op, 4417.00 ns, 2.1567 ns/op
OverheadActual  18: 2048 op, 4542.00 ns, 2.2178 ns/op
OverheadActual  19: 2048 op, 4417.00 ns, 2.1567 ns/op
OverheadActual  20: 2048 op, 4667.00 ns, 2.2788 ns/op

WorkloadWarmup   1: 2048 op, 841287375.00 ns, 410.7849 us/op
WorkloadWarmup   2: 2048 op, 835303833.00 ns, 407.8632 us/op
WorkloadWarmup   3: 2048 op, 838520250.00 ns, 409.4337 us/op
WorkloadWarmup   4: 2048 op, 857808125.00 ns, 418.8516 us/op
WorkloadWarmup   5: 2048 op, 847881042.00 ns, 414.0044 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 836943375.00 ns, 408.6638 us/op
WorkloadActual   2: 2048 op, 803703833.00 ns, 392.4335 us/op
WorkloadActual   3: 2048 op, 818680459.00 ns, 399.7463 us/op
WorkloadActual   4: 2048 op, 831843667.00 ns, 406.1737 us/op
WorkloadActual   5: 2048 op, 820903416.00 ns, 400.8317 us/op
WorkloadActual   6: 2048 op, 820304167.00 ns, 400.5391 us/op
WorkloadActual   7: 2048 op, 833550333.00 ns, 407.0070 us/op
WorkloadActual   8: 2048 op, 837685958.00 ns, 409.0263 us/op
WorkloadActual   9: 2048 op, 823902792.00 ns, 402.2963 us/op
WorkloadActual  10: 2048 op, 835859083.00 ns, 408.1343 us/op
WorkloadActual  11: 2048 op, 851396416.00 ns, 415.7209 us/op
WorkloadActual  12: 2048 op, 895649000.00 ns, 437.3286 us/op
WorkloadActual  13: 2048 op, 838061416.00 ns, 409.2097 us/op
WorkloadActual  14: 2048 op, 816661875.00 ns, 398.7607 us/op
WorkloadActual  15: 2048 op, 838373750.00 ns, 409.3622 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 836938770.50 ns, 408.6615 us/op
WorkloadResult   2: 2048 op, 803699228.50 ns, 392.4313 us/op
WorkloadResult   3: 2048 op, 818675854.50 ns, 399.7441 us/op
WorkloadResult   4: 2048 op, 831839062.50 ns, 406.1714 us/op
WorkloadResult   5: 2048 op, 820898811.50 ns, 400.8295 us/op
WorkloadResult   6: 2048 op, 820299562.50 ns, 400.5369 us/op
WorkloadResult   7: 2048 op, 833545728.50 ns, 407.0048 us/op
WorkloadResult   8: 2048 op, 837681353.50 ns, 409.0241 us/op
WorkloadResult   9: 2048 op, 823898187.50 ns, 402.2940 us/op
WorkloadResult  10: 2048 op, 835854478.50 ns, 408.1321 us/op
WorkloadResult  11: 2048 op, 851391811.50 ns, 415.7187 us/op
WorkloadResult  12: 2048 op, 838056811.50 ns, 409.2074 us/op
WorkloadResult  13: 2048 op, 816657270.50 ns, 398.7584 us/op
WorkloadResult  14: 2048 op, 838369145.50 ns, 409.3599 us/op
// GC:  1043 14 0 6307326824 2048
// Threading:  17939 0 2048

// AfterAll
// Benchmark Process 88350 has exited with code 0.

Mean = 411.666 us, StdErr = 1.361 us (0.33%), N = 43, StdDev = 8.922 us
Min = 392.431 us, Q1 = 407.879 us, Median = 409.360 us, Q3 = 414.760 us, Max = 436.537 us
IQR = 6.882 us, LowerFence = 397.556 us, UpperFence = 425.083 us
ConfidenceInterval = [406.852 us; 416.479 us] (CI 99.9%), Margin = 4.814 us (1.17% of Mean)
Skewness = 0.78, Kurtosis = 3.75, MValue = 2

// ** Remained 7 (77.8%) benchmark(s) to run. Estimated finish 2026-07-31 0:35 (0h 5m from now) **
// **************************
// Benchmark: ParallelResolverBenchmarks.Plinq: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5) [TargetCount=5000]
// *** Execute ***
// Launch: 1 / 3
// Execute: dotnet Benchmarks-Job-LVEFGF-1.dll --anonymousPipes 134 135 --benchmarkName "Benchmarks.ParallelResolverBenchmarks.Plinq(TargetCount: 5000)" --job "IterationCount=15, LaunchCount=3, WarmupCount=5" --benchmarkId 2 in /Users/raldes/Desktop/projects/Optimization/Benchmarks/bin/Release/net9.0/Benchmarks-Job-LVEFGF-1/bin/Release/net9.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 9.0.7 (9.0.7, 9.0.725.31616), Arm64 RyuJIT armv8.0-a
// GC=Concurrent Workstation
// HardwareIntrinsics=ArmBase+AdvSimd,AES,CRC32,DP,RDM,SHA1,SHA256 VectorSize=128
// Job: Job-LVEFGF(IterationCount=15, LaunchCount=3, WarmupCount=5)

OverheadJitting  1: 1 op, 102958.00 ns, 102.9580 us/op
WorkloadJitting  1: 1 op, 8098458.00 ns, 8.0985 ms/op

OverheadJitting  2: 16 op, 303875.00 ns, 18.9922 us/op
WorkloadJitting  2: 16 op, 13324250.00 ns, 832.7656 us/op

WorkloadPilot    1: 16 op, 12498708.00 ns, 781.1693 us/op
WorkloadPilot    2: 32 op, 22770541.00 ns, 711.5794 us/op
WorkloadPilot    3: 64 op, 46111208.00 ns, 720.4876 us/op
WorkloadPilot    4: 128 op, 88141458.00 ns, 688.6051 us/op
WorkloadPilot    5: 256 op, 201863792.00 ns, 788.5304 us/op
WorkloadPilot    6: 512 op, 247568500.00 ns, 483.5322 us/op
WorkloadPilot    7: 1024 op, 477835375.00 ns, 466.6361 us/op
WorkloadPilot    8: 2048 op, 932981125.00 ns, 455.5572 us/op

OverheadWarmup   1: 2048 op, 6000.00 ns, 2.9297 ns/op
OverheadWarmup   2: 2048 op, 11625.00 ns, 5.6763 ns/op
OverheadWarmup   3: 2048 op, 27625.00 ns, 13.4888 ns/op
OverheadWarmup   4: 2048 op, 11292.00 ns, 5.5137 ns/op
OverheadWarmup   5: 2048 op, 22166.00 ns, 10.8232 ns/op
OverheadWarmup   6: 2048 op, 17875.00 ns, 8.7280 ns/op

OverheadActual   1: 2048 op, 4666.00 ns, 2.2783 ns/op
OverheadActual   2: 2048 op, 4958.00 ns, 2.4209 ns/op
OverheadActual   3: 2048 op, 4958.00 ns, 2.4209 ns/op
OverheadActual   4: 2048 op, 4625.00 ns, 2.2583 ns/op
OverheadActual   5: 2048 op, 4625.00 ns, 2.2583 ns/op
OverheadActual   6: 2048 op, 4583.00 ns, 2.2378 ns/op
OverheadActual   7: 2048 op, 14791.00 ns, 7.2222 ns/op
OverheadActual   8: 2048 op, 4792.00 ns, 2.3398 ns/op
OverheadActual   9: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadActual  10: 2048 op, 4500.00 ns, 2.1973 ns/op
OverheadActual  11: 2048 op, 4625.00 ns, 2.2583 ns/op
OverheadActual  12: 2048 op, 4542.00 ns, 2.2178 ns/op
OverheadActual  13: 2048 op, 4834.00 ns, 2.3604 ns/op
OverheadActual  14: 2048 op, 4667.00 ns, 2.2788 ns/op
OverheadActual  15: 2048 op, 4708.00 ns, 2.2988 ns/op

WorkloadWarmup   1: 2048 op, 933324792.00 ns, 455.7250 us/op
WorkloadWarmup   2: 2048 op, 895559167.00 ns, 437.2847 us/op
WorkloadWarmup   3: 2048 op, 911318209.00 ns, 444.9796 us/op
WorkloadWarmup   4: 2048 op, 943908000.00 ns, 460.8926 us/op
WorkloadWarmup   5: 2048 op, 917834500.00 ns, 448.1614 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 900338625.00 ns, 439.6185 us/op
WorkloadActual   2: 2048 op, 908669375.00 ns, 443.6862 us/op
WorkloadActual   3: 2048 op, 924764875.00 ns, 451.5453 us/op
WorkloadActual   4: 2048 op, 927346334.00 ns, 452.8058 us/op
